机构ID,培训机构名称,所属区,培训项目名称,培训等级
2.00E+14,上海宏星职业技能培训学校,静安,评茶师[S300009],中级/四级
2.00E+14,上海自力进修学院,黄浦,供应链管理师[S200020],技师/二级
2.00E+14,上海自力进修学院,黄浦,供应链管理师[S200020],高级/三级
2.00E+14,上海自力进修学院,黄浦,供应链管理师[S300031],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,中式烹调师[S300013],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,中式面点师[S300013],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,中式面点师[S300013],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,机修钳工[S600003],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,机修钳工[S600003],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,机修钳工[S600003],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,汽车维修工（汽车机械维修工）[S200005],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,汽车维修工（汽车机械维修工）[S200005],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,汽车维修工（汽车机械维修工）[S200005],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,电工[S100004],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,电工[S100004],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,电工[S100004],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,电梯安装维修工[S300006],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,电梯安装维修工[S300006],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,电梯安装维修工[S300006],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,计算机程序设计员[S400021],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,计算机维修工[S300033],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,计算机维修工[S300033],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,计算机维修工[S300033],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,计算机软件测试员[S300032],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,车工[S100001],初级/五级
2.00E+14,上海嘉定现代技术培训中心,嘉定,车工（数控车工）[S100001],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,车工（数控车工）[S100001],高级/三级
2.00E+14,上海嘉定现代技术培训中心,嘉定,铣工（数控铣工）[S100001],中级/四级
2.00E+14,上海嘉定现代技术培训中心,嘉定,铣工（数控铣工）[S100001],高级/三级
2.00E+14,上海市嘉定建设人才职业技术培训学校,嘉定,中式面点师[S300013],初级/五级
2.00E+14,上海市嘉定建设人才职业技术培训学校,嘉定,中式面点师[S300013],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,互联网营销师（商品选品员）[S300031],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,互联网营销师（直播销售员）[S500023],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,人工智能训练师[S300040],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,人工智能训练师[S400054],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,企业人力资源管理师[S300015],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,供应链管理师[S200020],技师/二级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,供应链管理师[S200020],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,供应链管理师[S300031],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,供应链管理师[S300031],技师/二级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,保育师[S300011],初级/五级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,保育师[S300011],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,全媒体运营师（流量运营）[S300070],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,全媒体运营师（流量运营）[S400071],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,全媒体运营师（直播运营）[S300070],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,全媒体运营师（直播运营）[S400071],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,全媒体运营师（视听运营）[S300070],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,全媒体运营师（视听运营）[S400071],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,动画制作员[S400022],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,婴幼儿发展引导员（育婴员）[S300011],初级/五级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,婴幼儿发展引导员（育婴员）[S300011],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,婴幼儿发展引导员（育婴员）[S300011],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,汽车维修工（汽车机械维修工）[S200005],初级/五级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,汽车维修工（汽车机械维修工）[S200005],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,物流服务师[S300035],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,物联网安装调试员[300002],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,物联网安装调试员[S300041],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,物联网安装调试员[S300041],中级/四级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,计算机程序设计员[S400021],高级/三级
2.00E+14,上海嘉定区成人职业技术培训中心,嘉定,计算机软件测试员[S300032],高级/三级
2.00E+14,上海外服虹桥人才服务有限公司,闵行,人工智能训练师[S400054],高级/三级
2.00E+14,上海外服虹桥人才服务有限公司,闵行,人工智能训练师[S500053],高级/三级
2.00E+14,上海外服虹桥人才服务有限公司,闵行,企业人力资源管理师[S300015],中级/四级
2.00E+14,上海外服虹桥人才服务有限公司,闵行,企业人力资源管理师[S300015],高级/三级
2.00E+14,上海外服虹桥人才服务有限公司,闵行,职业培训师[S300015],高级/三级
2.00E+14,上海申伦职业技能培训中心,普陀,中式烹调师[S300013],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,中式烹调师[S300013],中级/四级
2.00E+14,上海申伦职业技能培训中心,普陀,中式烹调师[S300013],高级/三级
2.00E+14,上海申伦职业技能培训中心,普陀,中式面点师[S300013],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,中式面点师[S300013],中级/四级
2.00E+14,上海申伦职业技能培训中心,普陀,中式面点师[S300013],高级/三级
2.00E+14,上海申伦职业技能培训中心,普陀,养老护理员[S300038],中级/四级
2.00E+14,上海申伦职业技能培训中心,普陀,养老护理员[S300038],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,养老护理员[S300060],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,养老护理员[S300060],中级/四级
2.00E+14,上海申伦职业技能培训中心,普陀,家政服务员（家务服务员）[S300039],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,家政服务员（母婴护理员）[S300039],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,电工[S100004],中级/四级
2.00E+14,上海申伦职业技能培训中心,普陀,电工[S100004],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,西式面点师[S300013],初级/五级
2.00E+14,上海申伦职业技能培训中心,普陀,西式面点师[S300013],中级/四级
2.00E+14,上海申伦职业技能培训中心,普陀,西式面点师[S300013],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,中式烹调师[S300013],初级/五级
2.00E+14,上海市松江大成教育培训中心,松江,中式烹调师[S300013],中级/四级
2.00E+14,上海市松江大成教育培训中心,松江,中式烹调师[S300013],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,人工智能训练师[S400054],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,工业机器人系统操作员[S200018],中级/四级
2.00E+14,上海市松江大成教育培训中心,松江,工业机器人系统操作员[S200018],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,广告设计师[S300049],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,汽车维修工（汽车机械维修工）[S200005],初级/五级
2.00E+14,上海市松江大成教育培训中心,松江,汽车维修工（汽车机械维修工）[S200005],中级/四级
2.00E+14,上海市松江大成教育培训中心,松江,汽车维修工（汽车机械维修工）[S200005],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,物业管理员[100016],中级/四级
2.00E+14,上海市松江大成教育培训中心,松江,物业管理员[200010],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,物业管理师[S300037],中级/四级
2.00E+14,上海市松江大成教育培训中心,松江,物业管理师[S300037],高级/三级
2.00E+14,上海市松江大成教育培训中心,松江,车工[S100001],初级/五级
2.00E+14,上海松江新桥职业培训中心,松江,人工智能训练师[S300040],初级/五级
2.00E+14,上海松江新桥职业培训中心,松江,人工智能训练师[S500053],高级/三级
2.00E+14,上海松江新桥职业培训中心,松江,人工智能训练师[S500053],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,工业机器人系统操作员[S200018],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,工业机器人系统操作员[S200018],高级/三级
2.00E+14,上海松江新桥职业培训中心,松江,机修钳工[S600003],初级/五级
2.00E+14,上海松江新桥职业培训中心,松江,机修钳工[S600003],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,机修钳工[S600003],高级/三级
2.00E+14,上海松江新桥职业培训中心,松江,电工[S100004],技师/二级
2.00E+14,上海松江新桥职业培训中心,松江,电工[S100004],高级/三级
2.00E+14,上海松江新桥职业培训中心,松江,电工[S100004],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,电工[S100004],初级/五级
2.00E+14,上海松江新桥职业培训中心,松江,车工[S100001],初级/五级
2.00E+14,上海松江新桥职业培训中心,松江,车工（数控车工）[S100001],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,车工（数控车工）[S100001],高级/三级
2.00E+14,上海松江新桥职业培训中心,松江,车工（数控车工）[S100001],技师/二级
2.00E+14,上海松江新桥职业培训中心,松江,车工（普通车工）[S100001],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,铣工（数控铣工）[S100001],中级/四级
2.00E+14,上海松江新桥职业培训中心,松江,铣工（数控铣工）[S100001],高级/三级
2.00E+14,上海松江新桥职业培训中心,松江,铣工（数控铣工）[S100001],技师/二级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车机械维修工）[S200005],初级/五级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车机械维修工）[S200005],中级/四级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车机械维修工）[S200005],高级/三级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车机械维修工）[S200005],技师/二级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车机械维修工）[S200005],高级技师/一级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身整形修复工）[S200005],初级/五级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身整形修复工）[S200005],中级/四级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身整形修复工）[S200005],高级/三级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身整形修复工）[S200005],技师/二级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身涂装修复工）[S200005],初级/五级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身涂装修复工）[S200005],中级/四级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身涂装修复工）[S200005],高级/三级
2.00E+14,上海交运汽车修理职业技能培训中心,普陀,汽车维修工（汽车车身涂装修复工）[S200005],技师/二级
2.00E+14,上海文峰职业技能培训学校,普陀,美发师[S300008],初级/五级
2.00E+14,上海文峰职业技能培训学校,普陀,美发师[S300008],中级/四级
2.00E+14,上海文峰职业技能培训学校,普陀,美发师[S300008],高级/三级
2.00E+14,上海文峰职业技能培训学校,普陀,美容师[S300008],初级/五级
2.00E+14,上海文峰职业技能培训学校,普陀,美容师[S300008],中级/四级
2.00E+14,上海电子商务职业培训中心,长宁,供应链管理师[S300031],高级/三级
2.00E+14,上海电子商务职业培训中心,长宁,电子商务师（网商）[S300030],高级/三级
2.00E+14,上海燃气职业技术培训学校,虹口,燃气储运工（燃气输配场站运行工）[300004],高级/三级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,企业人力资源管理师[400047],高级/三级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,企业人力资源管理师[S300015],中级/四级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,劳动关系协调师[400047],高级/三级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,劳动关系协调师[S300016],中级/四级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,商品营业员[S200019],初级/五级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,商品营业员[S200019],高级/三级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,商品营业员[S200019],中级/四级
2.00E+14,上海市黄浦商业人才培训中心,黄浦,西式面点师[S300013],初级/五级
2.00E+14,上海江南职业技能培训中心,虹口,电工[S100004],高级技师/一级
2.00E+14,上海江南职业技能培训中心,虹口,电工[S100004],技师/二级
2.00E+14,上海江南职业技能培训中心,虹口,电工[S100004],高级/三级
2.00E+14,上海江南职业技能培训中心,虹口,电工[S100004],中级/四级
2.00E+14,上海江南职业技能培训中心,虹口,电工[S100004],初级/五级
2.00E+14,上海商贸旅游职业技能培训中心,黄浦,中式烹调师[S300013],初级/五级
2.00E+14,上海商贸旅游职业技能培训中心,黄浦,中式烹调师[S300013],中级/四级
2.00E+14,上海养老护理职业培训中心,黄浦,劳动关系协调师[S300016],中级/四级
2.00E+14,上海交通职业技能培训学校,宝山,汽车维修工（汽车机械维修工）[S200005],初级/五级
2.00E+14,上海交通职业技能培训学校,宝山,汽车维修工（汽车机械维修工）[S200005],中级/四级
2.00E+14,上海交通职业技能培训学校,宝山,汽车维修工（汽车机械维修工）[S200005],高级/三级
2.00E+14,上海交通职业技能培训学校,宝山,汽车维修工（汽车机械维修工）[S200005],技师/二级
2.00E+14,上海交通职业技能培训学校,宝山,汽车维修工（汽车机械维修工）[S200005],高级技师/一级
2.00E+14,上海绿化职业技能培训中心,徐汇,园林绿化工[S300034],高级/三级
2.00E+14,上海绿化职业技能培训中心,徐汇,园林绿化工[S300034],初级/五级
2.00E+14,上海绿化职业技能培训中心,徐汇,园林绿化工[S300034],中级/四级
2.00E+14,上海绿化职业技能培训中心,徐汇,插花花艺师[S600024],中级/四级
2.00E+14,上海绿化职业技能培训中心,徐汇,插花花艺师[S600024],初级/五级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,互联网营销师（直播销售员）[S500023],初级/五级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,互联网营销师（直播销售员）[S500023],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,互联网营销师（直播销售员）[S500023],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,人工智能训练师[S400054],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,人工智能训练师[S400054],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,全媒体运营师（流量运营）[S300070],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,全媒体运营师（流量运营）[S300070],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,全媒体运营师（直播运营）[S300070],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,全媒体运营师（直播运营）[S300070],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,全媒体运营师（视听运营）[S300070],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,全媒体运营师（视听运营）[S300070],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,咖啡师[S300042],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,咖啡师[S300042],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,咖啡师[S400042],初级/五级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,婴幼儿发展引导员（育婴员）[S300011],初级/五级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,婴幼儿发展引导员（育婴员）[S300011],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,网络与信息安全管理员（互联网信息审核员）[S100017],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,网络与信息安全管理员（互联网信息审核员）[S100017],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,网络与信息安全管理员（信息安全管理员）[S100017],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,网络与信息安全管理员（信息安全管理员）[S100017],高级/三级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,网络与信息安全管理员（网络安全管理员）[S100017],中级/四级
2.00E+14,上海黄浦区业达职业技能培训中心,黄浦,网络与信息安全管理员（网络安全管理员）[S100017],高级/三级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式烹调师[S300013],初级/五级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式烹调师[S300013],中级/四级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式烹调师[S300013],高级/三级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式烹调师[S300013],技师/二级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式烹调师[S300013],高级技师/一级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式面点师[S300013],初级/五级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式面点师[S300013],中级/四级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,中式面点师[S300013],高级/三级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,咖啡师[S400042],中级/四级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,咖啡师[S400042],初级/五级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,西式面点师[S300013],初级/五级
2.00E+14,上海黄浦区钟华职业技术培训中心,黄浦,西式面点师[S300013],中级/四级
2.00E+14,上海上汽职业技术培训学校,虹口,人工智能训练师[S400054],中级/四级
2.00E+14,上海上汽职业技术培训学校,虹口,人工智能训练师[S400054],高级/三级
2.00E+14,上海上汽职业技术培训学校,虹口,企业人力资源管理师[S300015],中级/四级
2.00E+14,上海上汽职业技术培训学校,虹口,企业人力资源管理师[S300015],高级/三级
2.00E+14,上海上汽职业技术培训学校,虹口,劳动关系协调师[S300016],中级/四级
2.00E+14,上海上汽职业技术培训学校,虹口,劳动关系协调师[S300016],高级/三级
2.00E+14,上海上汽职业技术培训学校,虹口,机修钳工[S600003],初级/五级
2.00E+14,上海上汽职业技术培训学校,虹口,机修钳工[S600003],中级/四级
2.00E+14,上海上汽职业技术培训学校,虹口,机修钳工[S600003],高级/三级
2.00E+14,上海上汽职业技术培训学校,虹口,电工[S100004],高级/三级
2.00E+14,上海上汽职业技术培训学校,虹口,电工[S100004],中级/四级
2.00E+14,上海上汽职业技术培训学校,虹口,电工[S100004],初级/五级
2.00E+14,上海上汽职业技术培训学校,虹口,网络与信息安全管理员（互联网信息审核员）[S100017],高级/三级
2.00E+14,上海宝山区人才学院,宝山,中式烹调师[S300013],初级/五级
2.00E+14,上海宝山区人才学院,宝山,中式面点师[S300013],初级/五级
2.00E+14,上海宝山区人才学院,宝山,中式面点师[S300013],中级/四级
2.00E+14,上海宝山区人才学院,宝山,人工智能训练师[S400054],中级/四级
2.00E+14,上海宝山区人才学院,宝山,人工智能训练师[S400054],高级/三级
2.00E+14,上海宝山区人才学院,宝山,企业人力资源管理师[S300015],中级/四级
2.00E+14,上海宝山区人才学院,宝山,企业人力资源管理师[S300015],高级/三级
2.00E+14,上海宝山区人才学院,宝山,保育师[S300011],初级/五级
2.00E+14,上海宝山区人才学院,宝山,保育师[S300011],中级/四级
2.00E+14,上海宝山区人才学院,宝山,保育师[S300011],高级/三级
2.00E+14,上海宝山区人才学院,宝山,健康照护师（长期照护师）[S500077],初级/五级
2.00E+14,上海宝山区人才学院,宝山,健康照护师（长期照护师）[S500077],中级/四级
2.00E+14,上海宝山区人才学院,宝山,健康照护师（长期照护师）[S500077],高级/三级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（数据分析）[S400071],高级/三级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（流量运营）[S300070],中级/四级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（流量运营）[S300070],高级/三级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（流量运营）[S400071],高级/三级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（直播运营）[S300070],中级/四级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（直播运营）[S300070],高级/三级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（直播运营）[S400071],高级/三级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（视听运营）[S300070],中级/四级
2.00E+14,上海宝山区人才学院,宝山,全媒体运营师（视听运营）[S300070],高级/三级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300038],高级/三级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300038],中级/四级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300038],初级/五级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300038],技师/二级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300038],高级技师/一级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300060],初级/五级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300060],中级/四级
2.00E+14,上海宝山区人才学院,宝山,养老护理员[S300060],高级/三级
2.00E+14,上海宝山区人才学院,宝山,劳动关系协调师[S300016],中级/四级
2.00E+14,上海宝山区人才学院,宝山,劳动关系协调师[S300016],高级/三级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家务服务员）[S300039],初级/五级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家务服务员）[S300039],中级/四级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家务服务员）[S300039],高级/三级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家庭照护员）[S300031],高级/三级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家庭照护员）[S300039],高级/三级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家庭照护员）[S300039],中级/四级
2.00E+14,上海宝山区人才学院,宝山,家政服务员（家庭照护员）[S300039],初级/五级
2.00E+14,上海宝山区人才学院,宝山,插花花艺师[S600024],高级/三级
2.00E+14,上海宝山区人才学院,宝山,插花花艺师[S600024],中级/四级
2.00E+14,上海宝山区人才学院,宝山,插花花艺师[S600024],初级/五级
2.00E+14,上海宝山区人才学院,宝山,电工[S100004],高级/三级
2.00E+14,上海宝山区人才学院,宝山,电工[S100004],中级/四级
2.00E+14,上海宝山区人才学院,宝山,电工[S100004],初级/五级
2.00E+14,上海宝山区人才学院,宝山,职业培训师[S300015],高级/三级
2.00E+14,上海宝山区人才学院,宝山,西式面点师[S300013],初级/五级
2.00E+14,上海宝山区人才学院,宝山,西式面点师[S300013],高级/三级
2.00E+14,上海宝山区人才学院,宝山,车工[S100001],初级/五级
2.00E+14,上海宝山区人才学院,宝山,车工（数控车工）[S100001],中级/四级
2.00E+14,上海宝山区人才学院,宝山,车工（数控车工）[S100001],高级/三级
2.00E+14,上海宝山区人才学院,宝山,铣工（数控铣工）[S100001],中级/四级
2.00E+14,上海宝山区人才学院,宝山,铣工（数控铣工）[S100001],高级/三级
2.00E+14,上海锦华职业技术进修学校,黄浦,茶艺师[S300009],初级/五级
2.00E+14,上海锦华职业技术进修学校,黄浦,茶艺师[S300009],中级/四级
2.00E+14,上海锦华职业技术进修学校,黄浦,茶艺师[S300062],初级/五级
2.00E+14,上海锦华职业技术进修学校,黄浦,茶艺师[S300062],中级/四级
2.00E+14,上海锦华职业技术进修学校,黄浦,评茶师[S300009],初级/五级
2.00E+14,上海锦华职业技术进修学校,黄浦,评茶师[S300009],中级/四级
2.00E+14,上海锦华职业技术进修学校,黄浦,评茶师[S300062],初级/五级
2.00E+14,上海锦华职业技术进修学校,黄浦,评茶师[S300062],中级/四级
2.00E+14,上海锦华职业技术进修学校,黄浦,调酒师[S300013],初级/五级
2.00E+14,上海黄浦区文华职业技术培训学校,黄浦,供应链管理师[S200020],技师/二级
2.00E+14,上海黄浦区文华职业技术培训学校,黄浦,供应链管理师[S200020],高级/三级
2.00E+14,上海黄浦区文华职业技术培训学校,黄浦,供应链管理师[S300031],高级/三级
