培训机构名称,所属区,联系地址,联系电话,办学质量和诚信等级,机构ID,项目数量
上海市嘉定区交通职业技术培训中心,嘉定,上海市嘉定区嘉新公路698号2幢一楼,59531191,,200112300042861,3
上海市奉贤阳光培训学校,奉贤,奉贤区南桥镇振贤一支路2号、古华振贤路1号,"57420031,18901800031",B级,200112300043201,26
上海市长宁科技进修学院,长宁,长宁区剑河路727号,62132313,,200112300043221,1
上海农广培训中心,松江,上海市松江区中山二路658-8号,13916498175,C级,200112300043421,6
上海自然美技能培训中心,静安,昌平路958号8、9楼,62313326,B级,200112300043441,4
上海石化工业学校职业技能培训中心,金山,上海金山区石化海棠新村61号,13818579799,A级,200112300043471,7
上海金山区金艺职业技能培训中心,金山,上海市金山区朱泾镇金龙新街528弄6110号215-218室,18016297751,B级,200112300043481,10
上海金山区园艺职业技能培训中心,金山,上海金山区石化卫一路165号,13818969134,B级,200112300043511,3
上海金山区振欣职业技能培训中心,金山,上海市金山区朱泾镇亭枫公路3982号,57335789/67310102,B级,200112300043531,4
上海金山区现代职业技能培训中心,金山,上海市金山区朱泾镇万安街395号,57319562,A级,200112300043541,28
上海香格里职业培训学校,青浦,青浦区朱家角西井街84号,59858988,A级,200112300043621,27
上海崇明中华职业进修学校,崇明,崇明区城桥镇西门北村29号、崇明区城桥镇西门路385号,18930302038,A级,200112300043761,25
上海市志丹职业技能培训学校,普陀,上海市普陀区曹杨路1040弄2号楼中谊大厦1106,13918759955,,200112300043851,13
上海曹杨职业技能培训中心,普陀,上海市普陀区清涧路240号,"52787847,52781213",B级,200112300043871,32
上海新世纪职业技能培训中心,普陀,普陀区曹杨路930号20幢A401，A405-407,62658120,B级,200112300043891,24
上海内威职业技能培训学校,普陀,普陀区武宁路1500号南四楼,62434966,B级,200112300044091,13
上海捷才职业技能培训中心,杨浦,凤城路50号,65023147,A级,200112300044131,19
上海益禾职业技能培训中心,静安,原平路39号,66118897,A级,200112300044161,27
上海中亚饮食服务培训中心,静安,民和路153号1幢5层23室,60664633,A级,200112300044211,25
上海市宝山博智未来职业技术学校,宝山,上海市宝山区月罗路868号,13818983748,B级,200112300044221,33
上海市东亚进修学院,杨浦,内江路462号,65660360,,200112300044351,2
上海美都职业技能培训学校,静安,常德路888号6楼604,54591073,C级,200112300044361,3
上海技高职业技能培训中心,杨浦,民星路435号办公楼109、110室,65579149,A级,200112300044451,39
上海西南职业技能培训中心,闵行,上海市闵行区都会路3552号,13524142459,C级,200112300044601,10
上海交通职业技术培训中心,虹口,三门路661号17号楼,31236121  31236158*17106,A级,200112300044611,28
上海南湖职业技能培训中心,虹口,三门路661号,31236138,,200112300044681,10
上海健民职业技能培训中心,徐汇,上海市零陵路530号5楼，6楼，907室,54231004、13761442237,C级,200112300044821,3
上海徐汇区房地产职业技术培训学校,徐汇,徐汇区茶陵路218号206室、207室、208室,64478811;18616605658,A级,200201040045971,8
上海化工职业培训中心,静安,万航渡路731号1号楼二层、三层、五层,62558334,B级,200201040047101,11
上海高级轿车维修技术培训中心,闵行,上海市闵行区景洪路3369号2楼,02154352779，02159556030,,200201100056271,4
上海现代应用技术培训中心,静安,灵石路697-3号401-06室,32120577,,200201110058371,8
上海宝盛职业技术培训学校,宝山,宝山区蕴川路489号7幢110-3A室,36418018,B级,200201110058381,12
上海网信职业技术培训中心,徐汇,沪闵路9001-3号地下二层02北2-B1-5,18016359070,B级,200201110058391,7
上海宝丽职业培训学校,黄浦,巨鹿路361号4楼405-412室,13621659780,B级,200201230086471,31
上海安装工程职业技术培训中心,虹口,上海市虹口区同煌路26号,13681882841,A级,200202040098971,4
上海市测绘职业技能培训中心,普陀,武宁路419号A楼406、408、409室,62547943,,200203010125181,5
上海世健联职业技能培训学校,黄浦,学前街77号二楼,13917860386,B级,200204010171531,7
上海凯达职业技能培训学校,浦东,浦东新区三林路88弄5号,15900527317,A级,200204010171551,23
上海物流职业技能培训学校,徐汇,中山南二路777号1号楼2楼211、212、213、214室,13248086016、64226312,B级,200204010171561,37
上海市普陀区职业培训学校,普陀,上海市普陀区千阳路271弄11号楼3楼,13918056651,,200204120189261,4
上海五加一证书培训中心,徐汇,上海市徐汇区漕宝路80号2606、2306室,54255701 13917878218,B级,200206200268731,31
上海伟业培训中心,静安,共和路169号新发展大厦1301室,18917076215,B级,200206250273151,26
上海市宝经技术培训学校,宝山,宝山区盘古路727号5幢108号,66790118,A级,200206280277391,29
上海宝冶职业技能培训中心,宝山,宝山区四元路168号10号楼,56647416,A级,200206280277411,2
上海新兴职业技能培训学校,闵行,上海市闵行区宜山路2016号二号201室,18019490111,B级,200207260309441,22
上海育成职业技术培训学校,静安,新闸路1970号101-104 、106 、107室,13701709575,C级,200209200491771,2
上海工商职业技术学院,嘉定,上海市嘉定区外冈镇恒荣路200号,021-60675958-7086,,200209200491841,19
上海浦东新区农发职业技能培训中心,浦东,浦东新区川沙镇华夏东路3102弄158号,68393142,C级,200209200491881,1
上海浦东新区职业技术培训中心,浦东,康士路13号201室,58600590,B级,200211120579411,4
上海良师职业技能培训中心,杨浦,上海市杨浦区赤峰路43号,65975824,B级,200211120581961,7
上海科学技术职业学院,嘉定,金沙路280号,69990044,A级,200211130584211,9
上海南汇创明职业技能培训中心,浦东,上海市浦东新区惠南镇听潮南路96弄二楼85号,58012549,,200212020608321,6
上海市奉贤紫屿职业技能培训学校,奉贤,上海市奉贤区南桥镇沈陆中心路388号一楼,67105503/18918822212,B级,200212050613401,41
上海市电力育才职业技能培训中心,闵行,上海市闵行区昆阳路1号1号楼106室、202室、204室,18530153167,B级,200212300646231,1
上海青浦培新进修学校,青浦,青浦车站支一路10号,13916967552,A级,200304180789121,6
上海地铁环境职业培训学校,徐汇,沪闵路8075号603室,02164866689,B级,200305130813441,2
上海环境职业技术培训学校,徐汇,上海市徐汇区上中西路145号101-104、106-108、110、208等,54362976,B级,200306030841611,6
上海企顺技能培训学校,普陀,普陀区宁夏路679号306、315、316室,62235771,A级,200306170867981,33
上海复达职业技术培训中心,普陀,华池路58弄5号楼1603、1605、1606、1607、1615、1616室,13301939570,B级,200307140904451,43
上海质量教育培训中心有限公司,长宁,上海市武夷路258号,52389932,,200308060934781,4
上海智能消防学校,杨浦,上海市杨浦区长阳路1687号东1182幢D楼D103,52132119,B级,200308110939621,12
上海宝山车洋职业技术培训学校,宝山,上海市宝山区月罗路2255号17幢209-210室,36090495,C级,200309080975861,1
上海明日香职业技能培训学校,普陀,普陀区澳门路477弄5幢2层201-203、216-219室,62985060,C级,200309251000901,7
上海浦东新区张江职业技能培训中心,浦东,浦东新区中科路2329号A302、A309、A315、A317,58576362,,200310141013471,1
上海市徐汇恒甫进修学校,徐汇,孝民路128号达和楼806室、精技楼502-504室、805室；兴艺楼101等,64475261,,200310271029411,3
上海金山区金成职业技能培训中心,金山,金山区卫清东路3098号4层西侧,18801905851,B级,200311051038961,34
上海浦东新区金桥职业技能培训中心,浦东,上海浦东新区金海路2360号,50211135,B级,200312011068391,5
上海同济华康职业培训学校,虹口,上海市虹口区广灵四路24号甲开隆大厦3楼,65066592,,200312231094581,34
上海桥智职业培训中心,普陀,上海市普陀区柳园路215号2楼A区201-206室,18221422560,C级,200401071105321,3
上海市致立学前教育职业技能培训中心,静安,中山北路198号1009室,32201770（周一休息）,A级,200402161137611,6
上海电气李斌技师学院,杨浦,注册地上海市杨浦区许昌路1150号547室、办学地浦东大道2748号,20605671,A级,200402241150961,28
上海市现代食品职业技能培训中心,徐汇,宜山路889号1号楼7楼701、703—715、717—720室,54256835,A级,200402261152721,11
上海申华职业技术培训中心,普陀,上海市普陀区谈家渡路18号4楼,62447170,C级,200402271155081,9
上海谊信职业技能培训中心,普陀,真南路1008号,62508517,A级,200403051161121,6
上海市闵行春致职业技术培训中心,闵行,沪闵路3888号1号楼102室,64139066,C级,200404061206431,11
上海市青年技术培训中心,静安,汉中路188号中楼,63175111,,200404191225731,6
上海市浦东一建职业技能培训中心,浦东,莱阳路30号,13774349348,A级,200404291239281,1
上海市奉浦工商职业技术培训中心,奉贤,上海市奉贤区奉浦开发区八字桥路626号数控实训中心一楼至三楼,67106118,C级,200405171256301,9
上海市北职业技术培训中心,静安,上海市静安区江场三路56、58号501室,15221439609,B级,200406031284181,20
上海维纳职业技术培训学校,浦东,上海市浦东张江高科技园区科苑路299号1号201室,50809677,,200406111301281,1
上海华宁职业技术培训学校,闵行,上海市闵行区江川路690号,64301371,C级,200406181321531,15
上海华东电力职业技能培训中心,闵行,龙吴路4988号,13818367308,C级,200406181321541,1
上海黄浦区插花花艺职业技术培训学校,黄浦,上海黄浦区肇嘉浜路96号7幢7#105、7#106、7#107、7#108,53833288,A级,200406291333601,3
上海国际汽车城人才培训学院,嘉定,上海市嘉定区新成路899号,021-59534880,A级,200406301351441,4
上海盛达职业技能培训中心,宝山,上海市宝山区祁北路53号2层202室,17269687866,B级,200407061363251,6
上海市保卫干部培训中心,虹口,上海市虹口区天宝路879号,64072413 64075653,A级,200407081368561,2
上海莘闵职业技术培训学校,闵行,闵行区沪闵路3888号1幢202室,13585646178,A级,200407211404251,9
上海新艺职业技能培训学校,浦东,乳山路98号普联大厦1号楼805-806室,65375610,B级,200407291414581,12
上海市先劲教育专修学院,黄浦,上海市黄浦区中山南一路810号二楼,63035113,,200408041426341,14
上海市茶业职业培训中心,虹口,上海市中山北一路1230号15楼,55827582,C级,200408301508541,6
上海浦东新区安全生产培训中心,浦东,上海市浦东新区金桥路825号A区7幢,13816996080,C级,200409011512241,4
上海中冶宝钢技术职业技能培训中心,宝山,上海市宝山区宝杨路2061号,33793368,A级,200409231665541,9
上海助友职业技术培训中心,长宁,芙蓉江路276弄1号301室、310室,13816642511,B级,200410221808271,7
上海市中特职业培训学校,闵行,上海市闵行区莘沥路197号一号楼401室、402室,64120433、13611969766,B级,200410281824301,9
上海城市职业培训学校,徐汇,斜土路2088号504-506、509、515室,54255177,C级,200411031836501,6
上海市浦东软件园职业技能培训中心,浦东,上海市浦东新区懿徳路519号6号2层203、204、205室,50801913,A级,200411151873841,6
上海文华美美职业培训学校,长宁,长宁区中山西路750号2幢2502、2506、2510室,62755671,B级,200501172032851,2
上海慧谷职业技能培训中心,闵行,上海市闵行区沪闵路1441号6号楼2F西区225室,13816339325,,200501242049401,2
上海景格职业技术培训学校,嘉定,上海市嘉定区杭桂路1211弄64号302室、上海市嘉定区金沙路280号,021-36322696,B级,200502172068701,4
上海地铁职业技能培训学校,闵行,闵行区顾戴路751号,17717659834,B级,200502182071051,4
上海嘉华职业技能培训中心,嘉定,上海市嘉定区清河路34弄14号,59535400*816,A级,200503172120271,23
上海远东现代职业培训中心,静安,上海市静安区西康路828号301-304室,62419387,B级,200503182120671,4
上海新仙霞职业培训中心,长宁,天山五村44号,62343611,A级,200505102223141,31
上海闵行丹森现代教育培训中心,闵行,上海市闵行区中春路7039弄98号、108号D幢2层207室,34203287、18901632550,A级,200505192246941,29
上海市育儿职业技能培训中心,静安,北京西路1400弄24号,62790702,A级,200505252266511,7
上海华联家维职业技能培训中心,黄浦,合肥路219号302-305、407室,63879880,B级,200505252266541,5
上海新东坊形象艺术培训学校,徐汇,沪闵路9001-3号地下一层01北1-A1、A2,4008206011,B级,200507202385801,16
上海烹饪餐饮职业技术培训中心,黄浦,黄浦区延安东路59号7层723室,63216816,B级,200507292400791,20
上海张江生物医药职业技能培训中心,浦东,上海市浦东新区哈雷路899号1幢2楼201室、205室,50793333转203,B级,200508092426941,1
上海浦东新区浦发保安职业培训中心,浦东,华夏东路3039号,50435627,A级,200510182564861,2
上海眼镜职业培训中心,浦东,川大路555号1号楼305室,62121313,B级,200510262584511,8
上海杨浦区昭源进修学校,杨浦,上海杨浦区国定路335号1号楼4001室,13601650668,,200511022596701,1
上海高新职业技术培训中心,虹口,上海市虹口区天宝路879号,18121280096,,200511242641611,1
上海浦东群星职业技术培训中心,浦东,上海市浦东新区德州路240号,18616270783,C级,200512132670691,17
上海海盾安全技术培训中心,徐汇,岳阳路76号23幢201-210,64336810-5212,B级,200512132672311,2
上海利普职业培训学校,静安,上海市静安区广中路698号401室B区,56331110-127,B级,200601242734311,1
上海环球职业技术培训学校,闵行,闵行区春东路420号三幢2层,13661719723,,200602172757361,4
上海伯乐职业培训中心,徐汇,全州路41-51单号2层,64311726,A级,200602172757401,26
上海松江区华亭培训学校,松江,上海市松江区俞塘路512号4幢3层A单元A303室,57833835,B级,200603272841191,22
上海新天地职业技术学校,浦东,浦东新区沈家弄路650号,18521337327,C级,200606102980871,15
上海松江区卫生职业进修学校,松江,上海市松江区荣乐东路83弄1号201-205、213、803-805、806A室,57706183,B级,200606132990441,21
上海济光高级职业技能培训中心,宝山,上海市宝山区水产路2859号,56499486,C级,200607273076561,7
上海远见职业技术培训中心,静安,静安区老沪太路197弄2-5号,021-36530987,A级,200608033084311,10
上海松江云间职业技能培训中心,松江,上海市松江区乐都路419号,021-67720219,A级,200608143103761,20
上海漕河泾开发区人才发展培训中心,徐汇,上海市徐汇区古美1528号7幢108室,13501626746,B级,200609043141981,4
上海创意职业技能培训中心,浦东,上海浦东张江高科技园区春晓路109号1号楼201室、304室、305室,50277973,,200609263184091,2
上海金山区成人教育职业技能培训中心,金山,上海市金山区朱泾镇万安街950号,57320383,B级,200609303187041,4
上海百联职业技术学校,宝山,锦秋路1333号,13917836723,C级,200610093193081,3
上海电气职业技术学校,普陀,延长西路529弄25号,50871886,,200610203214821,6
上海崇明竞一职业技术培训中心,崇明,上海市崇明区城桥镇人民路651号,39612243,A级,200611143252091,4
上海俊柯职业技术培训学校,闵行,闵行区沪闵路7940号4楼411、412室,54170811、13901997873,B级,200612013280071,8
上海新静安职业技能培训中心,静安,宝山路584号1116室,56971099,C级,200612123297531,20
上海张江创新学院,浦东,上海市浦东新区环湖西二路800号3楼1317、1320、1321室,68795701,C级,200612293326041,3
上海浦东新区安全技术培训中心,浦东,浦东临港江山路2518号1-2层,13816362617,A级,200702143408131,4
上海竣豪职业技能培训中心,长宁,上海市长宁区古北路678号401室、404-1室,62332937,A级,200703123444501,7
上海松江区新技术培训学校,松江,松江区普照路8号-38号（8号303、307、308室）,13917950803,C级,200705153649401,13
上海长宁万宏工业职业技能培训中心,长宁,虹桥路1765弄64号,52163371,A级,200705293707321,10
上海维丽娅职业技术培训学校,长宁,定西路1300号2号楼一楼二楼,15300595962,,200705303708751,4
上海诚之医药商业培训中心,虹口,上海市虹口区曲阳路910号910室,63290040,,200706053725201,2
上海汇众益智职业技能培训学校,虹口,东江湾路188号B座402室,36080666,,200709133940621,1
上海市普陀华英教育培训中心,普陀,普陀区梅岭北路286号,13012897834,,200709263983341,2
上海国际银行金融专修学院,杨浦,杨浦区武东路198号710室,65908758,,200710184055321,1
上海黄浦区黄埔职业技能培训学校,黄浦,新桥路68号1806室,33766177,A级,200711124158621,14
上海奉贤区育秀职业技能培训中心,奉贤,上海市奉贤区南桥镇沪杭公路2250号,57107456,C级,200711274231871,2
上海广贤职业技术培训学校,闵行,闵行区七莘路488号3幢1楼,64120766,B级,200712124278131,7
上海金山区新起点职业技术培训中心,金山,上海市金山区石化卫二路429号4号楼,57950445,A级,200801074327081,13
上海市保安职业技能学校,黄浦,中山南路1228号三楼A303、A305、A306、A307室,13916198245,A级,200802024384681,3
上海金山区兴诚建设职业技术培训中心,金山,上海市金山区朱泾镇万安街704号南楼2-3层、北楼1-2层,57323413,B级,200802194396611,14
上海新健康进修学院,杨浦,上海市杨浦区国权路98号国阳大厦901,13818366575,,200802224406671,4
上海善护念职业技能培训学校,虹口,虹口区广灵二路277号4楼405室,65930282*803,C级,200803174456431,2
上海浦东新区环保职业技能培训中心,浦东,上海市浦东商城路1980号,58851959/13402042949,,200803244478711,2
上海尼普顿职业培训学校,静安,共和新路1301号北区105室,13761371347,C级,200803284491271,23
上海金山区张堰职业技能培训中心,金山,上海市金山区张堰镇新华路65号,57213153  18019206763,B级,200804254569381,3
上海新知职业技术培训学校,闵行,闵行区沪闵路445号新闵综合楼二层202、207室,13564834006,C级,200804304576321,14
上海临港漕河泾人才有限公司,徐汇,宜山路900号1幢0301部位307室,18917255208,,200806124656211,9
上海市浦东现代医药技术培训中心,浦东,沈家弄路700号,13816326252,A级,200808014746021,2
上海思妍丽职业技术培训学校,闵行,闵行区金汇路538号5层515、517室,18001875768,B级,200808184778251,4
上海市青浦启能培训学校,青浦,青浦区青赵公路55-65号,69216320,B级,200905065179711,3
上海市嘉定职业技能培训中心,嘉定,嘉定区嘉新公路1650号,59534880,B级,200905185204201,13
上海领禾培训中心有限公司,黄浦,上海市黄浦区中山南路589号5-B室,15800920953,,200905225217591,7
上海百联商贸进修学院,杨浦,杨浦区民星路525号,35351420,,200906175257751,1
上海杨浦区吉易训进修学校,杨浦,上海杨浦区双辽新村25号甲,65153501,B级,200906175258261,4
上海永琪美容美发技能培训学校,闵行,闵行区合川路3111号1号楼101室-105室,51532937  13661544458,B级,200910295470861,6
上海市崇明竖职教育培训中心,崇明,上海市崇明区竖新镇竖新北路188号、上海市崇明区长兴镇长凯路277号,59486528,A级,201001285624601,27
上海市北高新园区职业技能培训中心,静安,江场三路238号906室,56652002,,201006115845001,4
上海外服人力资源咨询有限公司,黄浦,上海市黄浦区金陵西路28号1号楼1902、1904-1907室(实际楼层18楼),15221175877,,201006215857441,14
上海博思堂职业技能培训学校,虹口,上海市中山北一路121号B2栋1001-1002、1021-1023室,61816266,,201009096004591,7
上海一致心理咨询职业技能培训中心,杨浦,杨浦区逸仙路205号1幢16楼1601-1603室,18939707595,C级,201010196066861,1
上海杨浦区康健进修学校,杨浦,上海市杨浦区周家嘴路2110号5楼,55806557,B级,201012066160701,3
上海江源职业技能培训中心,宝山,上海市宝山区铁力路2469号4号楼301-311室、501-509室,18601771507,C级,201102166269191,1
上海博润教育培训学校,宝山,上海市宝山区长江西路2301号,13817972447,B级,201108266661951,4
上海松江区同舟职业技能培训学校,松江,上海市松江区方松街道谷阳北路1470弄1号楼215/216/217/218室,57713326或13916680783,,201112196886351,6
上海浦东临港科技职业技能培训中心,浦东,浦东新区南汇新城镇方竹路1601号,13621615836,C级,201206117173141,16
上海浦东新区云凌职业技术培训学校,浦东,上海市浦东新区芳华路139号B118室,13801750887,C级,201207317261431,4
上海杨浦区三才培训中心,杨浦,上海大连路1548号503、511、516室,35327928,A级,201209127334091,10
上海东方工艺美术职业技术培训学校,闵行,上海市闵行区七莘路250号2号楼1层110室,62691919,,201209127334101,2
上海华是进修学院,徐汇,上海市徐汇区淮海西路55号2层CD座202-1室,15026822056  15026685378,,201209147342131,14
上海闵行区杏林密钥职业技能培训学校,闵行,"上海市闵行区黎安路1615弄58号2幢211,212室",18621393876,C级,201209177347231,5
上海哲美职业技能培训有限公司,松江,上海市松江工业区锦昔路100弄2号,33528811,C级,201212137513221,2
上海联明职业技能培训中心,浦东,上海浦东新区金海路3288号101室102室第二层301室302室303室,58780823,C级,201303147659041,9
上海天路保安培训学校,普陀,上海市普陀区交暨路211号B楼,02136326999,B级,201304247747561,1
上海金山区学坊进修学院,金山,上海市金山区海芙路289号二楼南,13321911875,A级,201307257951181,25
上海卫生行业职业技能培训中心,静安,上海市静安区北京西路1400弄17号,62298521,C级,201308147984061,6
上海民丰职业技能培训学校,嘉定,上海市嘉定区安亭镇民丰路988号,59577178,C级,201308238007541,2
上海正能量职业技能培训中心,青浦,上海市青浦区五厍浜路201号,021-59202158,A级,201404188460781,17
上海市嘉定震川培训中心,嘉定,宝安公路4765号1号楼203、205室；金沙路75号801、803、808室,13601714502,C级,201408068707651,2
上海科创职业培训有限公司,普陀,普陀区谈家渡路28号7A室,13816456559,,201408218748011,12
上海茸欣职业技术培训中心,松江,上海市松江区环城路21号,57865786,B级,201409158794721,4
上海市电梯培训中心,虹口,虹口区西江湾路450号,13701802080,,201410158860211,3
上海新鼎邦艺术职业培训学校,闵行,上海市闵行区东兰路238号3幢L219、L220、L221室,18516155687,C级,201410238881211,15
上海松江联阳职业技能培训学校,松江,松江区茸梅路288弄141号205.206.207室,17702115860,C级,201412048969771,5
上海君汇教育培训有限公司,松江,上海市松江区沪松路225号2层、227号2层,13916669569,,201501159067871,1
上海青浦区智源进修学校,青浦,青浦区城中北路735号一楼101室、三楼、四楼,18117029998,B级,201502059100361,11
上海青浦区新思维职业培训中心,青浦,沪青平公路2855弄1-72号329、331、02、04；105、106、107,18001829979,B级,201503169168671,15
上海吉益盟教育培训有限公司,浦东,上海市浦东新区金杨路81号4号楼,15000355560,A级,201503199180691,8
上海安欣职业技能培训中心,嘉定,上海市嘉定区嘉新公路698号1幢一楼,021-59568637,B级,201504169246041,5
上海炜峰职业技能培训学校,奉贤,"奉贤区南桥镇望园南路1288弄80号三号楼601-603,1604-1605室",13701716618,B级,201505189320961,4
上海闵行区浦江电商职业培训学校,闵行,上海市闵行区三达支路537弄65号4幢201、301室,13761656911,C级,201506029354041,7
上海贤达职业技能培训学校,奉贤,上海市奉贤区江海南路89号3楼,13381607906,A级,201506129384871,26
上海松江区孜汇职业技能培训中心,松江,松江区阔街22号,021-57705500,C级,201508139520951,3
上海普陀区华大职业培训学校,普陀,上海市普陀区中山北路3553号伸大厦22楼2208-2211室,62221108,C级,201512299843721,2
上海富华职业技能培训学校,虹口,上海市虹口区四平路421弄,18917643250,C级,201603110009081,1
上海金山区涵宇职业培训学校,金山,金山区卫清西路38弄15号三楼,13818131401,B级,201604010071061,5
上海金山区赞企职业技术培训中心,金山,上海市金山区浦卫公路16299弄复地金石湾一期2号楼,13764896592,B级,201604010071071,5
上海闵行区圣博职业技能培训中心,闵行,上海市闵行区都会路2849弄1号楼3楼302、304、306室,13651917651,C级,201604180121141,9
上海闵行区爱登堡职业技能培训学校,闵行,闵行区恒西路139号1楼-3楼,15821673923,B级,201605120183821,4
上海普陀区融沃职业技能培训中心,普陀,兰溪路119号曹杨商务楼212室,15721283565,C级,201606170279421,14
上海闵行区安泰保安培训学校,闵行,闵行区合川路3089号5号楼（C幢）2楼,13795390428,A级,201607050307111,3
上海长江职业技能培训学校,长宁,上海市长宁区金钟路658弄9号楼2层,13585821196,A级,201607060318511,1
上海甜爱职业技能培训中心,静安,上海市静安区中山北路814弄17号202、203、207室,15216666635,C级,201608160430821,4
上海众拓教育培训有限公司,松江,上海市松江区荣乐东路2055弄1号206-212室,18221171898,B级,201609060481011,32
上海德才教育培训中心,杨浦,上海市杨浦区宁国路218号502室,13611863638,,201609080496101,1
上海宜创职业技能培训有限公司,静安,上海市静安区场中路1988弄2-5、8-11号1002-1006,13671706010,C级,201609120504711,5
上海新迎园职业技能培训中心,嘉定,上海市嘉定区清河路150号4幢2层A区211-214室,13621830877,C级,201610140576291,5
上海浦东蓝天消防安全培训中心,浦东,上海市浦东新区浦三路3058号116、118、192、196、199室,18016359119,C级,201610200595791,12
上海新曼烹饪培训有限公司,金山,上海市金山区亭枫公路1915号,18321761082,C级,201612200738911,6
上海创就教育培训有限公司,虹口,上海市虹口区纪念路500号1幢312室,13621744813,B级,201701060782821,2
上海吴淞口国际邮轮培训有限公司,宝山,宝山区化成路251号301室、307室,15802168699,B级,201702130839471,7
上海君客职业技能培训学校,静安,昌平路990号6幢104室,13472477800,C级,201702150856131,4
上海闵行区佳明技能培训学校,闵行,上海市闵行区顾戴路2582号1幢2层202室,34976081,B级,201703030896071,4
上海致晶职业技能培训有限公司,浦东,三林路200号3幢311室,68591689、19945769531,C级,201703210967341,3
